,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
29,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:35:35,"RT @BBC: Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of their decline.
#Pl…",30
30,-0.9136,0.394,0.394,0.0,@BBC,2018-07-02 01:35:05,"RT @W_McPrivilege: Hey @BBC 
A screenshot from your website defines what racism is, and says racism is a crime. The next screenshot demonst…",31
31,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:34:23,RT @BBC: 🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,32
32,0.7269,0.0,0.0,0.295,@BBC,2018-07-02 01:34:14,"RT @dwdrums: . @snowpatrol and drummer, Johnny Quinn recently played the @BBC Biggest Weekend Festival. They also launched their new album…",33
33,0.6792,0.0,0.0,0.202,@BBC,2018-07-02 01:33:51,"RT @MurqusMark: @robn1980 @IlliyAli Just look at her reaction! ""Oh my god he is spilling the beans. Better shut him up, quickly!"" and then…",34
34,0.7213,0.0,0.0,0.317,@BBC,2018-07-02 01:33:11,@BritishRoyal2 @BBCNews @BBCWorld @WildlifeMag @BBC @GREATBritain @SoCoInt PLEASE put decency &amp; compassion ahead of… https://t.co/0WNtTgHbHX,35
35,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:31:58,"RT @BBC: Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of their decline.
#Pl…",36
36,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:30:57,"RT @yashwantdas01: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",37
37,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:29:44,"@matthewjdowd @sebastianroch1 @dowd @realDonaldTrump @BBC @realDonaldTrump and I are two black women in this video,… https://t.co/pXAzrSbMI0",38
38,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:29:35,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",39
39,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:28:38,@matthewjdowd @sebastianroch1 @dowd @realDonaldTrump @BBC https://t.co/7NjaSEjeMt,40
40,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:28:29,"@matthewjdowd @sebastianroch1 @dowd @realDonaldTrump @BBC #Kabbalah is history, science, mysticism all rolled up in… https://t.co/T0kYwqisYx",41
41,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:27:54,"RT @sandya_mehra: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने 28जून कबीर प्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",42
42,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:27:37,RT @Johnkamau7: @jansteenvoort2 @KimKardashian @khloekardashian @katyperry @EmmyKosgei @taylorswift13 @Karimi_Karen @gloria_muliro @donmoen…,43
43,0.636,0.0,0.0,0.181,@BBC,2018-07-02 01:27:19,"RT @muadmzaki: Congratulations to Mexico's new leftists  President President Lopez! I have been waiting for more than 20yrs for this, just…",44
44,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:26:51,RT @Blakkrasta: Get the biggest banger in Africa right now. See if you can stay on your feet when it starts to pla... @djempresstashai @MOB…,45
45,-0.4215,0.167,0.167,0.0,@BBC,2018-07-02 01:25:53,@matthewjdowd @sebastianroch1 @dowd @realDonaldTrump others. The @BBC is guilty of being part of the… https://t.co/mGdbJhOgzG,46
46,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:25:52,"⁦@cnni⁩ @nytimesworld ⁦@TimesofIsrael⁩ @BBCWorld @bbc ⁦@CICSaudi⁩
Lib  #FakeOutrage is for political agenda-no lib… https://t.co/49Dy0383ab",47
47,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:25:23,"RT @RussiaConnects: For ACCURATE reporting on #Syria follow:

@EvaKBartlett
@VanessaBeeley
@Partisangirl
@sahouraxo
@sarahabed84
@syria24me…",48
48,0.636,0.0,0.0,0.198,@BBC,2018-07-02 01:24:09,Congratulations to Mexico's new leftists  President President Lopez! I have been waiting for more than 20yrs for th… https://t.co/Wt5OxmjZwR,49
49,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:24:08,"RT @sandya_mehra: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने 28जून कबीर प्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",50
50,0.34,0.0,0.0,0.286,@BBC,2018-07-02 01:24:06,@BBC endorses #wilfulignorance and Orwellian #transpeak https://t.co/ZiRec5LqCm,51
51,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:24:04,RT @Pingachoo: @nyeannebevan @67Snowy @GracieSamuels @BBCNews @BBC  https://t.co/rAUhBcgrMR,52
52,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:23:52,"RT @nyeannebevan: @67Snowy @GracieSamuels @BBCNews Is it so he can pursue a ""journalistic"" career....rather than @BBC ""propagandist"" one?…",53
53,0.5859,0.0,0.0,0.153,@BBC,2018-07-02 01:23:49,"RT @TezuRathi: #NewIndia_DowryFree
It's amazing, must watch debate between all religious teachers on वाणी TV channel at 9:30 p.m to 10:30 p…",54
54,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:22:42,"@CNNnewsroom @cnni @nytimesworld @TimesofIsrael @RealCandaceO @BBCWorld @bbc @CanadianPM 
Lib  #FakeOutrage is only… https://t.co/TjGtz0kWKj",55
55,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:21:50,"https://t.co/6KLKECTDQT DESMIENTE estas MENTIRAS, abajo PRESENTADAS @BBC @CNN @NBC https://t.co/bZ4zcZt81F",56
56,0.5859,0.0,0.0,0.275,@BBC,2018-07-02 01:21:17,RT @BBC: ❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,57
57,-0.4939,0.228,0.228,0.11,@BBC,2018-07-02 01:19:18,"@BBC @BBCFOUR Wicked old psychopath Viner-Usmanova 😡she should be locked up, not lauded and given awards.  I feel ill after watching that 😔",58
58,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:19:14,清华大学录取通知书，夹带一份激光雕刻的3D清华“二校门”纸雕工艺品。打开通知书，二校门就会跃然纸上。@bbc  @RFI_Cn @cnfocus @dw_chinese @nytchinese @VOAChinese… https://t.co/fwBOrIdgma,59
59,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:19:07,RT @Bennettt60: A Human Planet episode of just people from the tristate saying yerrr @BBC @Discovery,60
60,0.7474,0.0,0.0,0.261,@BBC,2018-07-02 01:18:37,"@marcuschown Well the overpaid, just following orders people @BBC don't need the NHS. So They're quite happy to see… https://t.co/QKXZs9Rzx4",61
61,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:18:03,"RT @Raman_Ghavami: BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries)bigg…",62
62,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:17:51,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",63
63,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:17:13,"RT @anofiscal: @sundayschild22 @MalcolmNance @CNN @MSNBC @nbc @FBI @CBSNews @ABC @BBC @NPR What Just in Time said, all the way.  Y'all need…",64
64,-0.128,0.124,0.124,0.107,@BBC,2018-07-02 01:17:03,"RT @BBC: Half of all people who drown never intended to be in the water.

Knowing how to stay afloat could save your life 👇 https://t.co/94…",65
65,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:15:47,@BBC @bbcmundo @BBCBreaking @BBCWorld https://t.co/rtPrabbl2N,66
66,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:15:29,"RT @Raman_Ghavami: BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries)bigg…",67
